Region;District;Pszenica;Øyto;JÍczmieÒ;Owies;Gryka;Groch;Ziemniaki jadalne;Ziemniaki fabryczne;Siano koniczyny;Siano ≥πkowe;S≥oma;koÒ roboczy (cena minimalna);koÒ roboczy (cena maksymalna);krowa dojna (cena minimalna);krowa dojna (cena maksymalna)
BIA£OSTOCKIE;AUGUSTOWSKI;53,67;45,63;42,14;44;45,6;47,56;10,95;9;11,89;9,63;6;259.0;405.0;311.0;498.0
BIA£OSTOCKIE;BIA£OSTOCKI;48,33;41,3;35,79;40,94;38,4;39;10,99;9;11,34;9,11;4,75;213.0;471.0;307.0;575.0
BIA£OSTOCKIE;BIA£YSTOK (MIASTO);;;;;;;;;;;;;;;
BIA£OSTOCKIE;BIELSKI (BIELSK PODLASKI);53,89;42,4;39,13;42,6;34,33;39,83;11,6;9;16,2;10,33;5,8;215.0;450.0;325.0;535.0
BIA£OSTOCKIE;GRODZIE—SKI;52,53;45,79;42,68;45,69;43,63;48,29;11,02;8,27;14,11;10,35;5,94;279.0;534.0;295.0;500.0
BIA£OSTOCKIE;KOLNE—SKI;52,2;38,1;37,44;38,25;40,33;46,13;9,1;7,5;8,9;7,16;4,68;255.0;505.0;320.0;520.0
BIA£OSTOCKIE;OSTROWSKI (OSTR”W MAZOWIECKA);50,62;38,27;37,54;36,71;42,57;57,11;12,19;11,75;11,09;8,7;4,25;234.0;531.0;306.0;638.0
BIA£OSTOCKIE;OSTRO£ CKI;54,71;39,1;38,43;39,53;43,79;48,47;11,52;9,4;10,94;7,32;4,12;240.0;479.0;311.0;540.0
BIA£OSTOCKIE;SOK”LSKI;53,13;44,5;41,2;44,4;40,14;44,3;10,63;9;9,42;7,4;4,54;285.0;515.0;300.0;480.0
BIA£OSTOCKIE;SUWALSKI;55;43,2;41,88;43;45;45,71;12,78;8;12,07;10,25;6,17;235.0;405.0;300.0;440.0
BIA£OSTOCKIE;SZCZUCZY—SKI (WOJ. BIA£OSTOCKIE);52,8;43,78;42,5;41,57;44;45;10;X;11,81;9,83;4,47;285.0;425.0;314.0;484.0
BIA£OSTOCKIE;WO£KOWYSKI;51,67;43;40,06;42;37,62;42,85;10;8,6;13,5;9,93;6,9;336.0;609.0;324.0;526.0
BIA£OSTOCKIE;WYSOKOMAZOWIECKI;50,82;40;37,6;40,75;X;40,17;11,56;10;13,27;10;5,75;260.0;503.0;309.0;647.0
BIA£OSTOCKIE;£OMØY—SKI;51,57;42;39,83;42;43;55;11,25;8;15,2;10;4,82;250.0;435.0;336.0;520.0
KIELECKIE;B DZI—SKI;54,14;42;40;40;X;X;16,75;X;26,8;19,4;14;313.0;625.0;364.0;686.0
KIELECKIE;CZ STOCHOWA (MIASTO);;;;;;;;;;;;;;;
KIELECKIE;CZ STOCHOWSKI;51,25;41,7;40,25;41,67;48;72,71;15,56;10,75;17,63;14,89;10,18;218.0;460.0;302.0;534.0
KIELECKIE;I£ØECKI;51,44;39,69;38,47;39,46;41,56;51,9;11,69;7,8;11,44;10,06;5,57;237.0;519.0;281.0;491.0
KIELECKIE;J DRZEJOWSKI;49,92;39,08;38,2;39;X;50,67;14,92;11;15,38;12,44;9,13;197.0;479.0;284.0;586.0
KIELECKIE;KIELECKI;51,64;40,73;38,66;40,6;46;64,83;13,96;10,67;14,42;12,5;8,92;232.0;519.0;267.0;463.0
KIELECKIE;KONECKI;52,45;41,58;38,82;41;X;65;15,13;X;16,6;12,5;9,7;295.0;545.0;309.0;527.0
KIELECKIE;KOZIENICKI;51,86;38;35,43;36,57;X;X;13,38;X;11,25;8,5;6,03;275.0;556.0;313.0;594.0
KIELECKIE;MIECHOWSKI;50;41,44;38,69;41,88;X;53;13,79;8,5;22,2;17,2;8,69;253.0;600.0;334.0;788.0
KIELECKIE;OLKUSKI;51,05;41,25;38,37;41,29;X;X;17,89;X;24,29;19,17;15,22;268.0;513.0;303.0;599.0
KIELECKIE;OPATOWSKI;50;39;36,38;38,25;40;59,33;12,62;X;13,33;11,67;6,07;222.0;485.0;296.0;519.0
KIELECKIE;OPOCZY—SKI;49,63;38,8;36,28;38,17;43,67;58,78;17,24;X;10,33;9,3;7,64;260.0;453.0;304.0;482.0
KIELECKIE;PI—CZOWSKI;51,41;40,56;37,94;38,17;X;57,5;13,12;10,5;16,05;13,12;6,86;305.0;521.0;388.0;616.0
KIELECKIE;RADOMSKI;51,89;41,1;39,11;40,5;50;X;14,38;X;12;10,76;7,8;355.0;740.0;380.0;615.0
KIELECKIE;SANDOMIERSKI;52,86;41,57;37,58;39,92;X;55;12,08;X;12,75;10,88;5;250.0;423.0;315.0;506.0
KIELECKIE;SOSNOWIEC;;;;;;;;;;;;;;;
KIELECKIE;STOPNICKI;52,75;42,5;41,63;40,13;X;55,33;14,33;10;14,33;12;8,25;250.0;444.0;300.0;488.0
KIELECKIE;W£OSZCZOWSKI;52,62;41,69;40,6;40,92;53;55;14,08;X;13;9,94;8,33;254.0;429.0;312.0;504.0
KIELECKIE;ZAWIERCIA—SKI;52,21;41;40,36;40,78;X;60;18,46;15,67;24,73;19,45;13,69;229.0;554.0;284.0;629.0
KRAKOWSKIE;BIALSKI (BIA£A KRAKOWSKA);51,27;48,8;41,54;40,87;X;66;18,77;X;36,36;29,25;13,38;280.0;543.0;286.0;509.0
KRAKOWSKIE;BOCHE—SKI;49,4;41,3;37,7;37,8;X;61,67;13,5;9;31,64;23,91;11,73;191.0;382.0;273.0;523.0
KRAKOWSKIE;BRZESKI (BRZESKO);51,18;40,5;39,5;38,73;X;71,6;14,64;10;31,53;22,83;10,31;212.0;439.0;297.0;535.0
KRAKOWSKIE;CHRZANOWSKI;50,86;41,57;41,56;41,5;X;X;21,06;X;33;24,75;12,05;241.0;486.0;246.0;486.0
KRAKOWSKIE;D•BROWSKI;49,64;39,69;36,25;38,64;X;45;14,55;X;24,82;17,73;8,21;200.0;393.0;305.0;514.0
KRAKOWSKIE;GORLICKI;52,14;43;40,87;41,71;X;71,5;14,13;10;32,53;22;9,85;194.0;359.0;266.0;416.0
KRAKOWSKIE;GRYBOWSKI;56,82;47,91;45,22;46,33;X;50;11,8;6;26,8;19,38;11;175.0;373.0;258.0;415.0
KRAKOWSKIE;JASIELSKI;50,53;42,24;39,94;41,8;56;52;13,4;10;24,93;18,64;8,4;204.0;388.0;281.0;444.0
KRAKOWSKIE;KRAKOWSKI;51,71;42,24;39,5;41,12;X;77,5;18,5;11;30,93;23,13;10,38;235.0;476.0;342.0;606.0
KRAKOWSKIE;KRAK”W (MIASTO);;;;;;;;;;;;;;;
KRAKOWSKIE;LIMANOWSKI;53,67;43,46;39,77;42,69;X;56,38;16,55;X;30,67;24,78;12,14;188.0;345.0;279.0;438.0
KRAKOWSKIE;MAKOWSKI (MAK”W PODHALA—SKI);54,45;45;42,23;42,91;X;54,67;12,93;X;23,57;18;14,17;227.0;443.0;228.0;374.0
KRAKOWSKIE;MIELECKI;48,19;38,13;35,64;37,53;47,5;65;14,57;11;24,73;18,31;8,23;219.0;434.0;279.0;461.0
KRAKOWSKIE;MYåLENICKI;50,83;42,83;38,2;40,8;X;X;14,67;10;28,17;19,6;10,67;179.0;386.0;236.0;414.0
KRAKOWSKIE;NOWOS•DECKI;54,07;44,73;42,54;43,93;X;71;17;X;29,85;21,75;10,25;222.0;452.0;280.0;448.0
KRAKOWSKIE;NOWOTARSKI;57;52,14;49,44;47,44;X;X;16,67;X;21;17,29;10,83;272.0;478.0;300.0;472.0
KRAKOWSKIE;OåWI CIMSKI;50,33;44,4;39;41,5;X;X;20,22;11,5;33,1;26,3;12,94;310.0;520.0;330.0;515.0
KRAKOWSKIE;PILZNE—SKI;50,27;41,07;38,15;40,6;X;49,43;12,2;6;21,55;15,7;8,45;203.0;397.0;276.0;469.0
KRAKOWSKIE;ROPCZYCKI;47,91;40,27;38,67;39;44;59,2;12,67;8;18,17;14,45;7,91;192.0;396.0;282.0;479.0
KRAKOWSKIE;TARNOWSKI;49,2;41,33;39;40,25;X;65;17,13;X;27,7;20,8;10,11;215.0;425.0;295.0;520.0
KRAKOWSKIE;WADOWICKI;50,91;40,42;39;39,82;X;61,67;17,75;X;34,83;26,5;13,08;264.0;468.0;263.0;426.0
KRAKOWSKIE;WIELICKI;50,73;43,8;40,27;42,8;X;X;15,67;12;34,5;25,6;10,7;182.0;360.0;331.0;575.0
KRAKOWSKIE;ØYWIECKI;58;45,75;43;40,67;X;X;24,2;x;40;28,83;13,75;258.0;450.0;272.0;425.0
LUBELSKIE;BIALSKI (BIA£A PODLASKA);52,31;41,4;40,75;44,6;X;53;15,25;12;17,5;13,25;8,23;179.0;432.0;346.0;451.0
LUBELSKIE;BI£GORAJSKI;51,29;41,57;36,6;39,8;49,17;X;13,71;8;14,33;11,71;8;272.0;494.0;276.0;419.0
LUBELSKIE;CHE£MSKI;51,42;41,1;39;40,81;46,08;48;14,05;10,4;13,33;10,44;5,49;291.0;560.0;294.0;504.0
LUBELSKIE;GARWOLI—SKI;52,07;41,62;40,85;41,36;52,17;64,5;14,21;10;18,38;14,69;7,45;329.0;650.0;365.0;733.0
LUBELSKIE;HRUBIESZOWSKI;50,18;39,4;36,91;36,78;X;X;10,83;X;9,75;8;3,5;317.0;667.0;325.0;612.0
LUBELSKIE;JANOWSKI;51,24;39,67;37;38,79;46,89;49,14;15,56;11,8;14,93;12,97;8,23;278.0;586.0;250.0;275.0
LUBELSKIE;KONSTANTYNOWSKI;55,06;41,39;41;40,71;43,5;43,27;11,88;8;11,08;9;6,08;247.0;521.0;329.0;547.0
LUBELSKIE;KRASNOSTAWSKI;53,45;43,37;42,25;40,84;51;54,8;12,84;X;12,28;10;5,18;295.0;543.0;297.0;470.0
LUBELSKIE;LUBARTOWSKI;49,45;38,4;37,05;37,65;54,35;56,5;13,79;13;14,44;11,06;6,69;255.0;530.0;280.0;495.0
LUBELSKIE;LUBELSKI;52,62;41,71;41,17;40,85;43,75;60;14;10;14,5;13,5;5;354.0;734.0;346.0;725.0
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;;;;;;;
LUBELSKIE;PU£AWSKI;52,8;40,63;37,56;38,86;52,5;60;14,18;X;11,5;10;5,38;295.0;545.0;292.0;545.0
LUBELSKIE;RADZY—SKI;50,47;37,79;36,64;37,67;40;49,8;12,93;9,2;12,25;8,31;5,69;269.0;570.0;309.0;547.0
LUBELSKIE;SIEDLECKI;53,75;41,06;40,86;40,21;X;45,67;12,82;11;17,4;12,82;8,09;231.0;547.0;300.0;581.0
LUBELSKIE;SOKO£OWSKI;52;40,38;39,8;38,67;45;40;11,25;9,75;11,86;10,29;5,68;277.0;510.0;340.0;563.0
LUBELSKIE;TOMASZOWSKI;48,78;39,33;36,56;36,11;42,67;46,5;11,72;10;10,61;9;5,8;333.0;556.0;356.0;528.0
LUBELSKIE;W GROWSKI;53,58;41,58;41,25;39,27;46;56,5;12,69;9;12,1;9,5;5,72;300.0;633.0;400.0;715.0
LUBELSKIE;W£ODAWSKI;50,91;39,25;38,27;39,67;48,13;44,83;12,7;12;10,83;7,39;4,7;258.0;467.0;284.0;467.0
LUBELSKIE;ZAMOJSKI;51,62;38,58;37,25;37,62;46,17;65,8;11,38;X;10,38;9,19;5,42;265.0;521.0;279.0;479.0
LUBELSKIE;£UKOWSKI;50,05;39,37;38,94;38,39;49,72;49,93;12,45;10,67;11,84;8,37;6,35;267.0;507.0;310.0;563.0
LWOWSKIE;BRZOZOWSKI;47,6;39,4;35,75;39;X;65;13;X;18;14;7,75;175.0;413.0;280.0;450.0
LWOWSKIE;B”BRECKI;53,33;43,5;38,5;40,75;X;50;9,5;6;8,5;7,5;6,25;375.0;538.0;488.0;675.0
LWOWSKIE;DOBROMILSKI;50,44;38,56;37,83;37,88;X;55;14,17;X;20,63;16,5;9;189.0;433.0;282.0;506.0
LWOWSKIE;DROHOBYCKI;52,8;41,2;49,22;44,29;43,4;68,75;12,61;7;14,3;11;6,63;202.0;491.0;305.0;605.0
LWOWSKIE;GR”DECKI;49,07;39,93;36,31;38,17;40,25;52;12,75;8;18;13,96;6,54;247.0;485.0;353.0;604.0
LWOWSKIE;JAROS£AWSKI;49,11;39;37,86;37,63;38;60;14,13;8;19,57;13,29;8,2;258.0;494.0;295.0;550.0
LWOWSKIE;JAWOROWSKI;50,72;40,05;36,25;37,58;44,44;47,67;12,78;9,25;17,07;13,94;6,71;148.0;254.0;266.0;405.0
LWOWSKIE;KOLBUSZOWSKI;48,63;37,67;36,2;35,67;X;50;15;X;15,8;13,4;7,4;192.0;356.0;242.0;411.0
LWOWSKIE;KROåNIE—SKI;53,44;45,33;40,36;42;46,5;54,33;13,66;11;21,13;17,47;9,47;204.0;434.0;272.0;474.0
LWOWSKIE;LESKI;61,25;50;49,5;48,67;X;X;15;X;17,13;13,71;8,6;236.0;414.0;244.0;450.0
LWOWSKIE;LUBACZOWSKI;52,45;41,83;39,45;41,73;49,14;53,4;13,6;11;14,25;11,35;6,73;197.0;397.0;300.0;514.0
LWOWSKIE;LWOWSKI;50,43;42;38,86;41,43;40;54;11,67;8;19,83;14,83;7,17;276.0;547.0;371.0;700.0
LWOWSKIE;LW”W (MIASTO);;;;;;;;;;;;;;;
LWOWSKIE;MOåCISKI;50,4;40,53;39,23;40,46;41,5;58,33;13,91;8;18,58;15,18;7,22;210.0;414.0;306.0;483.0
LWOWSKIE;NIØA—SKI;49,7;41,33;40;41;43;52;16,2;10;18,75;14,38;8,14;158.0;375.0;193.0;391.0
LWOWSKIE;PRZEMYSKI;51,75;44;43;44,25;X;X;13,25;X;21,33;17,33;7,5;263.0;613.0;225.0;438.0
LWOWSKIE;PRZEWORSKI;51,25;38;37,8;37,2;40;X;14,33;X;22,75;17,38;8,7;280.0;550.0;290.0;670.0
LWOWSKIE;RAWSKI (RAWA RUSKA);52,8;42,4;38,8;40,2;45;42,5;13,5;10;13,5;10,4;6,6;213.0;500.0;350.0;580.0
LWOWSKIE;RUDECKI;52,8;42,36;38;41,45;45;40,5;11,6;10,5;17,5;12,46;6,5;232.0;464.0;359.0;673.0
LWOWSKIE;RZESZOWSKI;50,62;40,92;36,73;40,3;42,5;55,4;15,17;11;20,78;16,35;9,25;225.0;475.0;300.0;493.0
LWOWSKIE;SAMBORSKI;51,8;41,95;38,1;39,1;44;48,33;12,09;10,33;16,05;12,55;7,45;184.0;433.0;278.0;545.0
LWOWSKIE;SANOCKI;57,44;49,44;46,94;47,78;50;63,6;15,85;12;19,38;16;8,73;170.0;361.0;285.0;450.0
LWOWSKIE;SOKALSKI;49,08;37,79;34,8;36,46;37,5;43,5;11,95;8;10,33;9,12;5,31;269.0;464.0;357.0;529.0
LWOWSKIE;STAROSAMBORSKI;53,14;43,14;40,71;42,57;51,33;52,67;13,14;9;17,75;13,88;8,5;189.0;431.0;241.0;494.0
LWOWSKIE;STRZYØOWSKI;55,44;46,19;42,56;44,25;45;56,75;15,14;12,2;20;16,58;9;213.0;372.0;281.0;441.0
LWOWSKIE;TARNOBRZESKI;50;40,67;36,14;37,67;X;70;18,25;10;20,88;17,88;8,75;159.0;442.0;208.0;450.0
LWOWSKIE;£A—CUCKI;54;46,67;43,5;48,5;55,33;59,5;14,5;X;26,25;20,75;10,75;308.0;550.0;325.0;550.0
LWOWSKIE;Ø”£KIEWSKI;49,75;40,25;37,09;39,17;46,5;51,17;12,2;7;16,18;11,14;6,28;221.0;437.0;327.0;553.0
M. ST. WARSZAWA;PO£UDNIOWO-WARSZAWSKI;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;;;;
M. ST. WARSZAWA;P”£NOCNO-WARSZAWSKI;;;;;;;;;;;;;;;
NOWOGR”DZKIE;BARANOWICKI;54,86;48,89;46;48,56;47,14;55;12,6;9,9;15,29;12;7,11;314.0;539.0;236.0;382.0
NOWOGR”DZKIE;LIDZKI;55,14;47,63;46,94;46,15;49,25;54;13,48;11,6;13,75;10,62;7,73;279.0;539.0;278.0;440.0
NOWOGR”DZKIE;NIEåWIESKI;55,11;47,33;45,1;46,1;45,43;50,57;12,75;X;15,86;12,81;6,29;363.0;637.0;274.0;488.0
NOWOGR”DZKIE;NOWOGR”DZKI;54,6;50,29;45,1;49,67;49;50;15,5;X;14,5;11,7;7,2;281.0;519.0;281.0;463.0
NOWOGR”DZKIE;STO£PECKI;55,1;47,91;44,36;47,1;52;49,38;11,98;10,33;15,73;12,44;7,22;304.0;514.0;252.0;415.0
NOWOGR”DZKIE;S£ONIMSKI;54,67;45,75;44,5;50;42;49,36;13,13;8;14,45;10,97;6,98;296.0;482.0;254.0;439.0
NOWOGR”DZKIE;WO£OØY—SKI;57,5;54,3;51,89;50,67;45,43;53,14;15,33;X;14,63;11,11;6,6;354.0;545.0;306.0;473.0
POLESKIE;BRZESKI (BRZEå∆ N.BUG.);53,64;41,73;39,1;41,33;40,33;46,3;12,5;11,1;16,29;11,48;6,78;220.0;550.0;250.0;470.0
POLESKIE;DROHICKI;48,75;39,83;37;42,3;39;43,5;11,76;7,5;11,53;8,7;4,36;344.0;579.0;297.0;496.0
POLESKIE;KOBRY—SKI;51,35;40,94;40,31;40,71;39,31;45,76;14,37;9,5;13,26;9,28;5,54;303.0;561.0;320.0;521.0
POLESKIE;KOSOWSKI (KOS”W POLESKI);55,88;46,42;44,92;45,5;43,29;52,5;12,89;X;17,5;10,5;5,48;306.0;538.0;288.0;468.0
POLESKIE;KOSZYRSKI;50,75;46,1;45,2;45,8;44,67;47,33;11,75;X;13,5;12;5,5;217.0;515.0;285.0;529.0
POLESKIE;PI—SKI;52,27;45,5;42,58;45,22;38,53;60;12,34;8;10,2;7,56;3,51;342.0;588.0;311.0;522.0
POLESKIE;PRUØA—SKI;54,38;46,89;42,82;45,5;43,29;48;14,7;X;15,33;12,51;8,14;245.0;491.0;224.0;455.0
POLESKIE;SARNE—SKI;53,5;45,67;43,11;45,44;42,27;48,43;12,83;12,3;11,64;9,81;4,82;232.0;490.0;263.0;509.0
POLESKIE;STOLI—SKI;49,64;41,6;39;41,55;40,5;48,6;12,25;9;12,36;9,15;3,76;325.0;530.0;302.0;494.0
POLESKIE;£UNINIECKI;58,5;47,63;43;47,14;42,17;49,25;11,5;X;12;7;4,4;294.0;631.0;194.0;394.0
POMORSKIE;BRODNICKI;48,17;37,11;38,25;35,14;X;52;14,56;12;13;10;5,2;455.0;945.0;389.0;725.0
POMORSKIE;CHE£MI—SKI;49,36;40;38,71;36,83;X;51,11;14,21;10,7;10,83;8,2;5;361.0;746.0;379.0;682.0
POMORSKIE;CHOJNICKI;53,29;42,8;42;41,95;42,5;54,83;16,1;10;10,78;9,2;6,15;284.0;675.0;296.0;588.0
POMORSKIE;DZIA£DOWSKI;49,5;39,2;38,5;37,79;42;46;12,61;8,7;11,73;9,18;6;353.0;648.0;342.0;578.0
POMORSKIE;GNIEWSKI;48,94;39,71;39,44;39,38;X;57,83;12,33;7,5;10,29;7,83;3,58;312.0;729.0;341.0;700.0
POMORSKIE;GRUDZI•DZ (MIASTO);;;;;;;;;;;;;;;
POMORSKIE;GRUDZI•DZKI;49,77;39,4;38,77;38,3;X;55,71;13,18;10,2;11,13;9,06;4,11;353.0;744.0;365.0;674.0
POMORSKIE;KARTUSKI;50,82;42,28;40,33;41;X;60,33;16,94;11,33;11,96;10,29;7;307.0;632.0;304.0;566.0
POMORSKIE;KOåCIERSKI;50,08;40;38,89;39,44;X;52,8;13;8,8;10,77;8,58;4,96;318.0;707.0;304.0;579.0
POMORSKIE;LUBAWSKI;49,28;39;39,5;38,44;X;45,27;13;8;10;8,69;3,68;292.0;669.0;339.0;561.0
POMORSKIE;MORSKI;49,69;40,67;39,27;38,06;X;62,36;18,65;9;13,25;11,5;7,66;358.0;768.0;366.0;650.0
POMORSKIE;STAROGARDZKI;49,25;39,3;38,9;38,78;X;52,84;13,25;10,2;11,13;9,47;5,4;257.0;618.0;324.0;603.0
POMORSKIE;S POLE—SKI;48,69;39,13;38,62;38,45;X;42,8;13,44;9;10;7,67;5,25;305.0;611.0;374.0;613.0
POMORSKIE;TCZEWSKI;49,75;42;40,72;38,44;X;51,25;13,88;11,67;10,43;8;4,16;392.0;900.0;421.0;787.0
POMORSKIE;TORU— (MIASTO);;;;;;;;;;;;;;;
