District,Polish,% Polish,Ukrainian,% Ukrainian,Ruthenian,% Ruthenian,Belarusian,% Belarusian,Russian,% Russian,German,% German,Jewish,% Jewish,Hebrew,% Hebrew,Other and unknown: total,% Other: total,Minorities total (excluding Polish nationality),% Minorities total
AUGUSTOWSKI,68674.0,0.918703429,38.0,0.000508354,26.0,0.000347821,104.0,0.001391286,1478.0,0.019772311,45.0,0.000601999,4140.0,0.055383874,91.0,0.001217375,155.0,0.002073551,6077.0,0.081296571
BIAŁOSTOCKI,116709.0,0.833171519,62.0,0.000442611,46.0,0.000328388,9632.0,0.06876169,1833.0,0.013085567,642.0,0.004583161,8710.0,0.062179643,2204.0,0.015734091,240.0,0.001713331,23369.0,0.166828481
BIELSKI (BIELSK PODLASKI),111377.0,0.550254434,1777.0,0.008779211,302.0,0.001492021,57817.0,0.285643002,12539.0,0.06194852,85.0,0.00041994,16365.0,0.080850748,1896.0,0.009367126,252.0,0.001244998,91033.0,0.449745566
GRODZIEŃSKI,101089.0,0.474362404,151.0,0.000708571,60.0,0.000281551,63731.0,0.299059149,6101.0,0.02862908,153.0,0.000717956,31822.0,0.14932545,3532.0,0.016573989,6466.0,0.03034185,112016.0,0.525637596
ŁOMŻYŃSKI,146308.0,0.870016115,74.0,0.000440039,2.0,1.18929e-05,47.0,0.000279484,82.0,0.000487611,299.0,0.001777994,20472.0,0.121736131,731.0,0.004346869,152.0,0.000903863,21859.0,0.129983885
OSTROŁĘCKI,104341.0,0.926758862,50.0,0.000444101,2.0,1.7764e-05,14.0,0.000124348,35.0,0.000310871,5.0,4.44101e-05,7855.0,0.069768268,158.0,0.001403359,127.0,0.001128017,8246.0,0.073241138
OSTROWSKI (OSTRÓW MAZOWIECKA),85925.0,0.861481236,45.0,0.000451169,3.0,3.00779e-05,21.0,0.000210545,39.0,0.000391013,1391.0,0.01394612,10435.0,0.104620968,1792.0,0.017966533,90.0,0.000902337,13816.0,0.138518764
SOKÓLSKI,92816.0,0.899946672,28.0,0.000271489,28.0,0.000271489,1606.0,0.015571823,501.0,0.004857711,3.0,2.90881e-05,6581.0,0.06380957,1552.0,0.015048238,20.0,0.000193921,10319.0,0.100053328
SUWALSKI,85707.0,0.778277215,207.0,0.001879699,263.0,0.002388217,36.0,0.000326904,6253.0,0.056781446,2627.0,0.023854927,6921.0,0.062847336,1105.0,0.010034143,7005.0,0.063610112,24417.0,0.221722785
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),60935.0,0.893278604,19.0,0.000278531,4.0,5.86381e-05,28.0,0.000410467,89.0,0.001304698,18.0,0.000263872,6011.0,0.088118449,899.0,0.01317892,212.0,0.003107821,7280.0,0.106721396
WOŁKOWYSKI,83111.0,0.485101589,63.0,0.000367718,22.0,0.000128409,71984.0,0.420155609,2839.0,0.016570651,59.0,0.000344371,10375.0,0.060556713,2707.0,0.015800195,167.0,0.000974744,88216.0,0.514898411
WYSOKOMAZOWIECKI,78881.0,0.885278835,31.0,0.000347912,2.0,2.24459e-05,52.0,0.000583594,96.0,0.001077405,15.0,0.000168345,8990.0,0.10089447,801.0,0.008989596,235.0,0.002637397,10222.0,0.114721165
BIAŁYSTOK (MIASTO),46386.0,0.50917114,87.0,0.000954984,13.0,0.000142699,518.0,0.005685997,3263.0,0.035817389,1948.0,0.021382861,33487.0,0.367581036,5303.0,0.058210118,96.0,0.001053775,44715.0,0.49082886
BĘDZIŃSKI,199763.0,0.863615927,42.0,0.000181575,10.0,4.3232e-05,31.0,0.000134019,98.0,0.000423674,88.0,0.000380442,28228.0,0.122035364,2309.0,0.009982275,741.0,0.003203493,31547.0,0.136384073
CZĘSTOCHOWSKI,175305.0,0.960754332,22.0,0.00012057,1.0,5.48047e-06,14.0,7.67266e-05,16.0,8.76876e-05,532.0,0.002915612,6465.0,0.035431258,26.0,0.000142492,85.0,0.00046584,7161.0,0.039245668
IŁŻECKI,149319.0242714413,0.9353137491054674,46.16920953854169,0.0002891327127286587,7.023074027982958,4.3980569987465656e-05,9.03845671330493,5.660491638939801e-05,38.09998745459282,0.00023858360276626168,579.5298244651053,0.0036313616818142683,10014.262547927328,0.06272019864932252,840.6228733014681,0.005263795008094579,21.36918444772733,0.00013393591518464496,11556.115157876051,0.07237759355551865
JĘDRZEJOWSKI,99498.84804834075,0.9166024857762146,22.00626493368972,0.00020274353020538892,0.0019577917780379105,1.2665738128838458e-08,3.0003915583556076,2.7643933143710183e-05,12.005873375334113,0.00011060299717523068,3.003524025200468,2.7664198289476074e-05,8743.451155306104,0.08055357448769185,245.19656229451502,0.0022586496386202137,66.01096363395702,0.0006081809280552099,9094.676692918933,0.083789072579393
KIELECKI,192238.0,0.876610259,147.0,0.000670324,16.0,7.29604e-05,14.0,6.38404e-05,160.0,0.000729604,731.0,0.003333379,24882.0,0.113462564,987.0,0.004500746,122.0,0.000556323,27059.0,0.123389741
KONECKI,158009.8557382859,0.8830377831702532,50.30928992584831,0.00028142760399368287,0.0,0.0,15.013848802649925,8.382360167824889e-05,45.02769760529985,0.0002513652033564978,118.28101007717115,0.0006711320709397726,20838.325983258233,0.11638398411940881,651.5585683735469,0.003637619432355656,48.16156936424912,0.00026913385214352573,21766.677967407002,0.12157848437972156
KOZIENICKI,126546.0,0.884275402,57.0,0.000398303,3.0,2.09633e-05,10.0,6.98778e-05,21.0,0.000146743,2498.0,0.01745547,13754.0,0.096109904,130.0,0.000908411,88.0,0.000614924,16561.0,0.115724598
MIECHOWSKI,147680.15195165924,0.9554009852237852,15.993735066310277,0.00010346946979461106,4.998042208221961,3.233433426187116e-05,0.9996084416443923,6.466856856289816e-06,14.994126624665885,9.700290282476931e-05,8.99647597479953,5.8201701710523916e-05,6257.548844693896,0.04048254451230814,501.80343770548495,0.0032463633613797863,27.989036366042985,0.00018107207194479016,6833.323307081066,0.044207456420607
OLKUSKI,140591.0,0.926592807,27.0,0.000177949,5.0,3.29535e-05,6.0,3.95442e-05,16.0,0.000105451,68.0,0.000448167,10593.0,0.069815263,267.0,0.001759716,156.0,0.001028149,11138.0,0.073407193
OPATOWSKI,161840.0,0.867556165,56.0,0.000300192,7.0,3.75241e-05,13.0,6.96875e-05,36.0,0.000192981,11.0,5.89664e-05,23209.0,0.124413687,1297.0,0.006952671,78.0,0.000418125,24707.0,0.132443835
OPOCZYŃSKI,120072.14426171409,0.9199238778297467,66.6907100741517,0.0005109463960063171,0.0,0.0,2.9861511973500754,2.2878198321751115e-05,5.972302394700151,4.575639664350223e-05,1138.7189899228288,0.008724211929060227,8479.674016741765,0.06496639688059119,120.44143162645305,0.0009227535676443442,34.83843063575088,0.00026691214785647425,9849.322032593,0.07545985462027845
PIŃCZOWSKI,113643.0,0.901227617,42.0,0.000333074,1.0,7.93034e-06,2.0,1.58607e-05,7.0,5.55124e-05,9.0,7.13731e-05,12184.0,0.096623261,149.0,0.001181621,61.0,0.000483751,12455.0,0.098772383
RADOMSKI,141146.97572855867,0.9381840498945324,21.830790461458307,0.00014510628727134133,2.9769259720170416,1.978723001253434e-05,4.961543286695069,3.297868361060199e-05,12.90001254540718,8.574459723373832e-05,971.4701755348946,0.006457225318185731,6871.737452072671,0.04567547035067748,209.37712669853192,0.0013916999919054214,47.630815552272665,0.00031659508481535507,8142.884842123948,0.05412460744448134
SANDOMIERSKI,108608.0,0.880400772,23.0,0.000186443,3.0,2.43187e-05,5.0,4.05311e-05,56.0,0.000453949,142.0,0.001151084,13649.0,0.110641851,767.0,0.006217474,109.0,0.000883578,14754.0,0.119599228
STOPNICKI,135791.0,0.886995317,52.0,0.000339667,3.0,1.95962e-05,0.0,0.0,15.0,9.79809e-05,203.0,0.001326009,16034.0,0.104735092,952.0,0.006218524,41.0,0.000267815,17300.0,0.113004683
WŁOSZCZOWSKI,93131.0,0.925691055,31.0,0.00030813,0.0,0.0,5.0,4.96983e-05,3.0,2.9819e-05,424.0,0.004214418,6817.0,0.067758705,142.0,0.001411433,54.0,0.000536742,7476.0,0.074308945
ZAWIERCIAŃSKI,120660.0,0.920555721,22.0,0.000167845,0.0,0.0,4.0,3.05173e-05,33.0,0.000251768,43.0,0.000328061,9594.0,0.073195853,424.0,0.003234839,293.0,0.002235396,10413.0,0.079444279
CZĘSTOCHOWA (MIASTO),92429.0,0.78878468,64.0,0.000546173,0.0,0.0,4.0,3.41358e-05,92.0,0.000785124,82.0,0.000699784,23852.0,0.203551831,366.0,0.003123427,290.0,0.002474846,24750.0,0.21121532
SOSNOWIEC,89202.0,0.818674914,52.0,0.000477244,4.0,3.67111e-05,5.0,4.58888e-05,180.0,0.001651998,167.0,0.001532687,18314.0,0.168081572,878.0,0.008058077,157.0,0.001440909,19757.0,0.181325086
RADOM (MIASTO),52767.0,0.677351031,43.0,0.000551976,0.0,0.0,2.0,2.56733e-05,83.0,0.001065441,120.0,0.001540397,24389.0,0.313072835,452.0,0.005802162,46.0,0.000590485,25135.0,0.322648969
BIALSKI (BIAŁA KRAKOWSKA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOCHEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRZESKI (BRZESKO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHRZANOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DĄBROWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GORLICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JASIELSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRAKOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIELECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYŚLENICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOWOSĄDECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOWOTARSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARNOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WADOWICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŻYWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DĘBICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA PODLASKA),106466.99999935496,0.915719126994452,2128.999999987101,0.018311457999889057,120.9999999992669,0.0010407169999936947,175.99999999893367,0.0015137699999908287,163.99999999900638,0.001410558999991454,5.999999999963649,5.160579999968734e-05,6505.9999999605825,0.055957889999660976,554.9999999966375,0.004773536999971078,141.99999999913967,0.0012213369999926004,9798.999999940632,0.08428087299948939
BIŁGORAJSKI,106100.0,0.907217553,2510.0,0.02146198,217.0,0.001855478,11.0,9.40565e-05,65.0,0.000555788,7.0,5.98541e-05,7837.0,0.06701097,150.0,0.001282588,54.0,0.000461732,10851.0,0.092782447
CHEŁMSKI,120805.0,0.744148084,9554.0,0.058851793,3549.0,0.021861525,350.0,0.002155969,563.0,0.00346803,6893.0,0.042460269,19061.0,0.117414069,1400.0,0.008623876,165.0,0.001016385,41535.0,0.255851916
GARWOLIŃSKI,140024.0,0.875467357,66.0,0.00041265,2.0,1.25045e-05,5.0,3.12613e-05,20.0,0.000125045,1212.0,0.007577747,17670.0,0.110477548,871.0,0.005445724,72.0,0.000450163,19918.0,0.124532643
HRUBIESZOWSKI,101394.0,0.780211916,16214.0,0.124764345,2852.0,0.021945721,58.0,0.000446301,412.0,0.003170279,365.0,0.002808621,8209.0,0.063167048,331.0,0.002546996,122.0,0.000938772,28563.0,0.219788084
JANOWSKI,142113.0,0.930558284,1006.0,0.006587305,3.0,1.9644e-05,3.0,1.9644e-05,18.0,0.000117864,2.0,1.3096e-05,8831.0,0.057825535,449.0,0.002940059,293.0,0.001918569,10605.0,0.069441716
KRASNOSTAWSKI,123204.0,0.91834316,868.0,0.006469935,186.0,0.001386415,58.0,0.000432323,100.0,0.000745384,6.0,4.47231e-05,9137.0,0.068105755,521.0,0.003883452,79.0,0.000588854,10955.0,0.08165684
LUBARTOWSKI,99918.0,0.92524377,557.0,0.005157837,71.0,0.000657462,9.0,8.33403e-05,13.0,0.00012038,1486.0,0.013760406,5755.0,0.053291478,152.0,0.001407525,30.0,0.000277801,8073.0,0.07475623
LUBELSKI,151946.0,0.929321965,55.0,0.000336387,2.0,1.22323e-05,6.0,3.66968e-05,11.0,6.72775e-05,850.0,0.005198713,10225.0,0.062537461,196.0,0.001198762,211.0,0.001290504,11556.0,0.070678035
ŁUKOWSKI,120991.0,0.937311652,28.0,0.000216915,0.0,0.0,11.0,8.52165e-05,9.0,6.97226e-05,187.0,0.00144868,7151.0,0.055398465,664.0,0.005143977,42.0,0.000325372,8092.0,0.062688348
PUŁAWSKI,150022.0,0.870869058,129.0,0.000748838,4.0,2.32198e-05,15.0,8.70741e-05,68.0,0.000394736,14.0,8.12692e-05,21074.0,0.122333355,717.0,0.004162144,224.0,0.001300307,22245.0,0.129130942
RADZYŃSKI,84174.0,0.849478751,313.0,0.003158776,13.0,0.000131195,12.0,0.000121103,46.0,0.000464229,669.0,0.006751506,10724.0,0.108225938,3063.0,0.030911605,75.0,0.000756895,14915.0,0.150521249
SIEDLECKI,129414.0,0.854719934,114.0,0.000752918,18.0,0.000118882,84.0,0.000554781,169.0,0.001116167,510.0,0.003368315,19979.0,0.131952104,943.0,0.006228081,180.0,0.001188817,21997.0,0.145280066
SOKOŁOWSKI,75376.0,0.897878474,39.0,0.000464568,0.0,0.0,6.0,7.1472e-05,22.0,0.000262064,69.0,0.000821928,8117.0,0.096689657,144.0,0.001715327,176.0,0.002096511,8573.0,0.102121526
TOMASZOWSKI,86612.0,0.715068855,17940.0,0.148112678,2812.0,0.023215878,41.0,0.000338496,348.0,0.002873089,3.0,2.4768e-05,12593.0,0.103967835,720.0,0.005944322,55.0,0.00045408,34512.0,0.284931145
WĘGROWSKI,79709.0,0.897745191,34.0,0.000382935,0.0,0.0,8.0,9.01023e-05,7.0,7.88395e-05,1201.0,0.013526603,7638.0,0.086025139,117.0,0.001317746,74.0,0.000833446,9079.0,0.102254809
WŁODAWSKI,86866.0,0.764894423,9077.0,0.079927091,586.0,0.005159995,412.0,0.003627846,402.0,0.003539792,2268.0,0.019970766,13537.0,0.119199408,360.0,0.003169963,58.0,0.000510716,26700.0,0.235105577
ZAMOJSKI,130530.0,0.872830128,2302.0,0.015393051,230.0,0.001537968,11.0,7.3555e-05,242.0,0.00161821,16.0,0.000106989,15417.0,0.103090646,722.0,0.004827881,78.0,0.000521572,19018.0,0.127169872
LUBLIN (MIASTO),73534.0,0.654887118,221.0,0.001968206,6.0,5.34355e-05,19.0,0.000169212,156.0,0.001389322,101.0,0.000899497,36549.0,0.325502071,1452.0,0.01293138,247.0,0.00219976,38751.0,0.345112882
BÓBRECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRZOZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOBROMILSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
