District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Mieszanki na ziarno: Jęczmień
AUGUSTOWSKI,26982.0,132349.0,43759.0,84431.0,876227.0,1063.0
BIAŁOSTOCKI,37341.0,375139.0,58035.0,165663.0,1613844.0,2252.0
BIELSKI (BIELSK PODLASKI),110273.0,440664.0,74730.0,223538.0,2245964.0,1491.0
GRODZIEŃSKI,30761.0,299844.0,65042.0,120363.0,1385858.0,1260.0
ŁOMŻYŃSKI,115642.0,678086.0,55811.0,264131.0,2729911.0,3473.0
OSTROŁĘCKI,43124.0,399090.0,26602.0,71860.0,1431306.0,2414.0
OSTROWSKI (OSTRÓW MAZOWIECKA),43449.0,225512.0,20108.0,52183.0,916211.0,3305.0
SOKÓLSKI,20897.0,337356.0,55671.0,163066.0,957241.0,824.0
SUWALSKI,34339.0,216135.0,50214.0,236452.0,860280.0,1286.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),43100.0,206038.0,29814.0,87273.0,978889.0,2927.0
WOŁKOWYSKI,38189.0,366192.0,77466.0,160033.0,1951466.0,1172.0
WYSOKOMAZOWIECKI,71255.0,250980.0,34872.0,75556.0,881500.0,5443.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,5482.0,98139.0,15262.0,16298.0,798663.0,660.0
CZĘSTOCHOWSKI,22113.0,584995.0,35766.0,115455.0,2404803.0,2464.0
IŁŻECKI,31486.427308886614,359793.0105034133,158693.90342948775,227090.89537186347,1915256.3628601981,3355.3517944972564
JĘDRZEJOWSKI,107639.57586639952,333802.09185090224,90278.83586999151,128850.46167801194,1945967.0266933192,2518.708329065294
KIELECKI,28070.0,280889.0,55124.0,72266.0,2293289.0,809.0
KONECKI,15663.523842168252,290533.72178769636,32754.386967497583,74195.45344073496,2422733.348950056,88.51759587308078
KOZIENICKI,38551.0,452182.0,109897.0,169500.0,1902437.0,1533.0
MIECHOWSKI,118903.42413360046,314240.90814909776,145096.1641300085,202857.53832198805,1776884.9733066806,1808.2916709347057
OLKUSKI,30844.0,260209.0,73644.0,119455.0,1985623.0,1898.0
OPATOWSKI,77317.0,311857.0,167512.0,300491.0,2328730.0,2132.0
OPOCZYŃSKI,21675.47615783175,494584.27821230364,46011.61303250241,141763.54655926503,2181555.651049944,758.4824041269192
PIŃCZOWSKI,99245.0,263433.0,125980.0,126203.0,1362355.0,4262.0
RADOMSKI,51016.57269111338,701075.9894965867,130939.09657051224,210412.10462813653,2948972.6371398014,2109.6482055027436
SANDOMIERSKI,61176.0,237091.0,132499.0,176993.0,1690595.0,1955.0
STOPNICKI,71950.0,343334.0,103848.0,130430.0,2351327.0,2429.0
WŁOSZCZOWSKI,72652.0,303562.0,44210.0,82732.0,1686684.0,3308.0
ZAWIERCIAŃSKI,13342.0,200327.0,24498.0,38366.0,1327348.0,1519.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),12409.0,99914.0,7791.0,103559.0,736991.0,3356.0
BOCHEŃSKI,51288.0,123586.0,38081.0,82590.0,629715.0,876.0
BRZESKI (BRZESKO),51756.0,169221.0,53765.0,100725.0,1266889.0,926.0
CHRZANOWSKI,9490.0,93781.0,9115.0,41437.0,634723.0,335.0
DĄBROWSKI,35910.0,93197.0,29946.0,52853.0,505965.0,462.0
GORLICKI,22461.0,73356.0,35933.0,95155.0,596626.0,4509.0
JASIELSKI,29215.0,121367.0,47025.0,91690.0,822266.0,4829.0
KRAKOWSKI,41163.0,187279.0,32004.0,137719.0,1129811.0,1036.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,33451.0,53732.0,36563.0,104840.0,489489.0,2191.0
MIELECKI,27571.0,106472.0,29267.0,68321.0,779450.0,2507.0
MYŚLENICKI,31674.0,92218.0,34438.0,134220.0,825568.0,1330.0
NOWOSĄDECKI,27223.0,77532.0,64759.0,123126.0,868764.0,7462.0
NOWOTARSKI,922.0,27525.0,56137.0,229166.0,802743.0,3530.0
TARNOWSKI,64294.0,197013.0,55354.0,124181.0,907280.0,2222.0
WADOWICKI,32683.0,146608.0,14684.0,190280.0,1131006.0,3233.0
ŻYWIECKI,6987.0,62758.0,24581.0,140746.0,655619.0,2653.0
DĘBICKI,50666.0,223499.0,66834.0,108134.0,1310195.0,2371.0
BIALSKI (BIAŁA PODLASKA),47414.99999971273,346038.9999979035,33099.99999979946,152779.99999907438,2949591.99998213,2548.999999984557
BIŁGORAJSKI,14839.0,103559.0,34111.0,71400.0,852161.0,409.0
CHEŁMSKI,113822.0,279306.0,117401.0,107666.0,1841795.0,8513.0
GARWOLIŃSKI,44654.0,363972.0,113057.0,147588.0,2270825.0,3066.0
HRUBIESZOWSKI,180025.0,201772.0,139183.0,146749.0,1393222.0,3160.0
JANOWSKI,45628.0,229332.0,111726.0,187179.0,1812214.0,39000.0
KRASNOSTAWSKI,159587.0,230137.0,122490.0,143507.0,1664759.0,18062.0
LUBARTOWSKI,27388.0,231690.0,35126.0,76564.0,1572024.0,2842.0
LUBELSKI,194626.0,396982.0,183030.0,236080.0,2501513.0,32801.0
ŁUKOWSKI,35557.0,414849.0,42821.0,188909.0,2195156.0,1882.0
PUŁAWSKI,57159.0,255368.0,129123.0,106589.0,2015141.0,11574.0
RADZYŃSKI,58320.0,227725.0,18718.0,112858.0,1807616.0,806.0
SIEDLECKI,59967.0,436035.0,30204.0,157427.0,2444958.0,1353.0
SOKOŁOWSKI,68698.0,232273.0,40694.0,90267.0,1483300.0,7434.0
TOMASZOWSKI,122305.0,179736.0,121732.0,126731.0,1023670.0,2925.0
WĘGROWSKI,46970.0,212925.0,35216.0,93860.0,1360264.0,1720.0
WŁODAWSKI,42124.0,282775.0,32226.0,90541.0,1700681.0,271.0
ZAMOJSKI,105092.0,231457.0,128407.0,150928.0,1145860.0,3901.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,60229.0,73031.0,29077.0,57946.0,844247.0,866.0
BRZOZOWSKI,22342.0,104474.0,38057.0,65454.0,685710.0,1041.0
DOBROMILSKI,20215.309677803165,88578.84372115531,22826.46513649281,93060.03931768314,607239.71237459,1091.0387516385297
DROHOBYCKI,25395.143706345705,98610.64303984158,24002.191383494293,80570.18225332824,1003762.4424088427,405.65117991161185
GRÓDECKI,32397.0,100605.0,29292.0,86706.0,729333.0,2294.0
JAROSŁAWSKI,49085.0,128678.0,40628.0,78848.0,864228.0,930.0
JAWOROWSKI,17517.57228907274,113545.73840790923,28005.679503705804,66983.25139042662,702117.9181645687,511.3968174758812
KOLBUSZOWSKI,12475.0,94536.0,23454.0,37187.0,584615.0,395.0
KROŚNIEŃSKI,26391.0,90581.0,36312.0,72947.0,801796.0,5074.0
LESKI,8109.0,45132.0,15259.0,127435.0,644589.0,137.0
LWOWSKI,71478.0,173194.0,42894.0,136937.0,1279355.0,1937.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,31888.0,101952.0,25573.0,50064.0,742397.0,377.0
MOŚCISKI,35609.0,97747.0,25901.0,50294.0,789271.0,754.0
NIŻAŃSKI,9708.0,65214.0,17088.0,29741.0,521465.0,490.0
PRZEMYSKI,58946.0,143234.0,37350.0,73367.0,1113090.0,1453.0
PRZEWORSKI,42185.0,86070.0,15895.0,42218.0,451211.0,1405.0
RAWSKI (RAWA RUSKA),53195.0,106955.0,62818.0,72112.0,610781.0,1391.0
RUDECKI,35617.0,71002.0,31242.0,49186.0,839640.0,1223.0
RZESZOWSKI,55639.0,156942.0,54986.0,90004.0,936188.0,5065.0
SAMBORSKI,38055.54661585113,130231.51323900312,45614.343480012896,68001.77842898862,1340323.8452165674,1486.3100684498586
SANOCKI,21320.0,94475.0,45013.0,87977.0,840089.0,3158.0
SOKALSKI,117556.9928436312,124906.72322354512,74676.95139926304,88803.95070806355,1049017.2545242845,3051.804893171599
TARNOBRZESKI,14961.0,86516.0,36551.0,37246.0,604721.0,893.0
ŻÓŁKIEWSKI,50097.0,91025.0,27604.0,49188.0,568324.0,873.0
LUBACZOWSKI,31312.427710927255,102059.26159209076,31119.320496294193,85218.74860957338,999231.0818354312,658.6031825241187
TURCZAŃSKI,1943.0,22516.0,4080.0,129286.0,511271.0,233.0
BRZEZIŃSKI,25297.0,372090.0,14105.0,115476.0,1613746.0,998.0
ŁASKI,33465.0,501512.0,20808.0,102127.0,1745687.0,2375.0
ŁĘCZYCKI,120905.0,518284.0,48456.0,132672.0,1664147.0,3761.0
ŁÓDZKI,11854.0,290020.0,6859.0,80498.0,1223154.0,1621.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,41132.0,636279.0,36841.0,176672.0,2785918.0,2194.0
RADOMSZCZAŃSKI,25445.0,657784.0,53529.0,128912.0,2769162.0,2125.0
SIERADZKI,49854.6155166925,685794.2450484869,23294.657707584938,189652.70899221432,2518430.37572885,1718.985407497132
WIELUŃSKI,26129.0,692846.0,22244.0,185111.0,2877692.0,3062.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,21369.0,305993.0,65581.0,92410.0,1530770.0,951.0
LIDZKI,14697.0,408506.0,133930.0,159224.0,1478143.0,5819.0
NIEŚWIESKI,34473.0,205218.0,61589.0,110852.0,1749461.0,98.0
NOWOGRÓDZKI,45207.977212772406,260229.31029843993,89676.52906319908,149391.54970288338,1402739.5339036481,1724.015720737121
SŁONIMSKI,22911.0,257479.0,55966.0,74354.0,935121.0,1362.0
STOŁPECKI,18574.022787227594,244171.6897015601,61546.47093680093,89114.45029711662,1586758.466096352,720.984279262879
WOŁOŻYŃSKI,12572.0,179295.0,73381.0,109776.0,977691.0,282.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),10304.0,194285.0,74202.0,65673.0,848826.0,910.0
BRZESKI (BRZEŚĆ N.BUG.),41573.00000028727,430955.0000020965,75955.00000020054,140854.00000092565,2223850.0000178707,1071.0000000154434
DROHICKI,13866.0,164903.0,24191.0,60550.0,1201001.0,19.0
KOBRYŃSKI,25505.0,224765.0,35932.0,56753.0,1017982.0,271.0
KOSZYRSKI,3442.0,143008.0,23452.0,40256.0,606618.0,14.0
ŁUNINIECKI,3236.603760460907,126621.9074049921,11833.179393239348,29701.95956960568,1064530.7795714275,21.225478101894733
PIŃSKI,8663.396239539094,275683.0925950079,33833.82060676065,111125.04043039432,1677916.2204285725,108.77452189810526
PRUŻAŃSKI,9642.0,199318.0,30042.0,60100.0,1274927.0,1950.0
STOLIŃSKI,16606.0,135292.0,20498.0,37871.0,805660.0,45.0
IWACEWICKI,2268.0,109794.0,17996.0,27920.0,771113.0,34.0
BRODNICKI,35297.150934084006,285153.334746695,61321.11972578333,34645.44438088661,965794.4416206271,28262.916128203757
CHEŁMIŃSKI,119128.07744691298,171512.83231173034,100183.46577830757,37870.745069023265,675426.5824187452,25640.161869244355
CHOJNICKI,15837.980909268383,248153.555665306,30425.51194783168,56999.90595096233,935578.7462145532,6106.839148168617
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,107579.68119296078,180735.1308739469,84831.70732851466,57087.114438560624,719792.1587949626,40864.42819257487
KARTUSKI,7055.504639686213,201165.01473651495,16133.574235689459,100115.00927874126,1189326.8760829747,2688.6030294562515
KOŚCIERSKI,9274.326042575618,184910.53322508562,14297.844960842109,66821.60049726935,853450.6596219096,9954.458185776708
LUBAWSKI,26740.0,280066.0,71821.0,54634.0,1002414.0,16480.0
SĘPOLEŃSKI,13297.0,178483.0,38424.0,47925.0,656372.0,16168.0
STAROGARDZKI,35406.2012684134,181154.38348870855,41089.58875073746,44907.45624713521,722247.9206419603,17370.073750020336
ŚWIECKI,63908.04141244555,340019.8003544906,89803.78017688142,65689.42258898656,1352827.1241750498,40059.06404329299
TCZEWSKI,109920.0,118666.0,72235.0,52123.0,460973.0,29074.0
TORUŃ (MIASTO),2201.3955837851586,3979.2203386713586,1452.5872464334445,655.4396952492522,12887.079133848081,663.7754514807193
TORUŃSKI,107389.52696930185,192476.94734959828,71667.94697525898,32063.815235727485,627842.3384474068,31996.062679274924
TUCHOLSKI,18709.945727610837,234650.71252989434,42395.69992801788,30421.605436905298,703461.6732635526,8108.961843285105
WĄBRZESKI,78932.16787295522,215483.53437935814,64225.17294570201,31231.44118055276,749519.3995844102,40416.655679221374
MORSKI,12002.0,164503.0,19136.0,90981.0,888477.0,10999.0
GDYNIA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
BYDGOSKI,69792.8289575733,253502.41235106025,100540.5368985657,61097.587860772386,847529.6177736644,36810.087208965444
BYDGOSZCZ (MIASTO),30.171042426705608,109.58764893977147,43.463101434308996,26.412139227617743,366.3822263356484,15.912791034556818
INOWROCŁAWSKI,167604.0,318504.0,164291.0,56558.0,1037861.0,43687.0
INOWROCŁAW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
SZUBIŃSKI,57806.0,283902.0,87099.0,51936.0,996566.0,39759.0
WYRZYSKI,106179.0,429412.0,139273.0,94229.0,1604850.0,61553.0
LIPNOWSKI,66231.0,504479.0,89348.0,65657.0,1222400.0,9145.0
NIESZAWSKI,139444.0,571367.0,142516.0,37940.0,1375636.0,26423.0
RYPIŃSKI,52147.09718493407,367780.3485255178,88780.18842057325,48791.75619628259,976848.8400193964,10093.687732645303
WŁOCŁAWSKI,120940.0,495452.0,103835.0,67271.0,1039186.0,12072.0
CHODZIESKI,17664.0,266072.0,42183.0,64964.0,1135278.0,21396.0
CZARNKOWSKI,9618.000000000002,158485.0,18151.000000000004,24473.000000000004,704611.0,8634.000000000002
GNIEŹNIEŃSKI,92825.0819838887,473808.0223635416,103356.44039479368,101656.68770654606,1686459.2974292645,52442.50272818151
GOSTYŃSKI,124273.56414255883,220796.37423829036,78735.69611540489,126183.29060445631,1215973.5905924302,19532.53279803353
JAROCIŃSKI,118580.9088452594,431616.5348950466,68196.00167973858,161307.58606027783,1849630.799693446,23371.817783207014
KĘPIŃSKI,35068.0,421730.0,26759.0,163174.0,1965938.0,14372.0
KOŚCIAŃSKI,140509.8458894003,428123.5629210518,106696.3660697338,136819.05061481553,2309019.2215455323,36054.86365251147
KROTOSZYŃSKI,107208.43394320748,259450.42574582814,63397.866340841254,137049.7959777303,1388603.8297217335,15311.857776705914
LESZCZYŃSKI,72216.80765973602,292862.56613350194,46125.451172465735,95360.44640106581,1358244.306394482,17973.166620778225
MIĘDZYCHODZKI,23787.0,206269.0,24522.0,49571.0,792266.0,13736.0
MOGILEŃSKI,180618.0,549143.0,225125.0,89795.0,1503448.0,67912.0
NOWOTOMYSKI,97027.0,407731.0,72712.0,99967.0,1703069.0,39762.0
OBORNICKI,75520.40056541626,432821.32844802825,74811.19062723048,103018.27818803022,1537389.394976421,47390.46737841524
OSTROWSKI (OSTRÓW WIELKOPOLSKI),81692.70407911953,350897.4480115953,37737.28260301284,100916.72977954907,1579087.6213439417,18753.243247048897
POZNAŃ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
RAWICKI,78944.34031646201,240812.86056358588,46152.22047931578,91234.85839904219,1044316.968610036,12840.181323551165
SZAMOTULSKI,128427.0,381344.0,87217.0,82928.0,1609874.0,38060.0
ŚREDZKI,108564.0,392072.0,100635.0,76436.0,1372593.0,29093.0
ŚREMSKI,80790.39512425644,415914.22749109997,71966.11553948715,106511.242163063,1309136.662098399,33093.336798163786
WĄGROWIECKI,68721.34084298271,410220.7958750021,106591.37801203405,83387.61999080308,1588089.7333937765,56888.79645615615
WOLSZTYŃSKI,26328.0,262912.0,22008.0,63343.0,1296980.0,11249.0
WRZESIŃSKI,72732.0,269622.0,72106.0,74532.0,1069234.0,25980.0
ŻNIŃSKI,82648.0,284680.0,95483.0,63266.0,990732.0,41610.0
POZNAŃSKI,103943.44412973724,523779.64726659004,120868.46307809486,117504.37095318611,2305954.21390752,37001.17637128761
GNIEZNO (MIASTO),24.732477975102782,126.20604683803646,27.527887846926983,27.043161434531026,447.36029301883116,14.057065959482834
KALISKI,93530.61280672763,546725.4991195654,31068.731817593474,188999.6557189702,2188338.372437905,3595.456447929542
KOLSKI,87002.0,557274.0,53933.0,89853.0,1774449.0,7760.0
KONIŃSKI,94272.0,904884.0,81676.0,180026.0,3221090.0,15156.0
TURECKI,58517.77167657987,503831.2558319478,18725.610474821595,113487.63528881554,1477044.2518332454,3550.5581445733264
DOLIŃSKI,3833.910974103935,54698.35191212149,3345.7481777031826,63411.961353013976,939692.1586020401,104.19284982466658
HORODEŃSKI,123241.0,106491.0,72312.0,36136.0,868179.0,5791.0
KAŁUSKI,21170.42621159804,73053.21377037505,8051.255227470472,62830.277454993324,914477.6831244787,254.38561512907688
KOŁOMYJSKI,50580.0,81793.0,24054.0,73732.0,1247560.0,2148.0
KOSOWSKI (KOSÓW HUCULSKI),7192.0,12000.0,3921.0,6564.0,222017.0,604.0
NADWÓRNIAŃSKI,10219.0,59516.0,6406.0,57172.0,1103865.0,355.0
ROHATYŃSKI,109193.0,139736.0,57460.0,105929.0,1541765.0,1845.0
STANISŁAWOWSKI,45941.99917849146,120140.76110483188,9362.729909094021,76140.74375227578,1340723.8011606762,644.8773463061412
STRYJSKI,17893.227520296172,72167.79137367327,11333.40400945267,99218.35120044921,918551.7274389219,351.96353033445405
ŚNIATYŃSKI,57342.0,71313.0,32909.0,27461.0,559960.0,2209.0
TŁUMACKI,66463.39060751075,152025.7728054158,23089.89895676808,67955.43793449126,1139604.9245140476,2085.3301350754514
ŻYDACZOWSKI,34932.86150559989,91240.85671420523,16346.847812844147,62918.687446536824,966719.1139590379,1486.8436198408795
BIELSKI (BIELSKO),6475.0,33644.0,5879.0,49857.0,360037.0,2883.0
BIELSKO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
CIESZYŃSKI,15945.0,33400.0,11731.0,75492.0,364281.0,11211.0
TARNOGÓRSKI,4241.0,29678.0,5161.0,14479.0,254656.0,886.0
KATOWICE (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
KATOWICKI,3637.4654069932835,42286.888214001716,3752.5812989646697,17553.697680867506,310996.896970594,1138.368265050373
LUBLINIECKI,14513.0,116124.0,15614.0,66040.0,647757.0,2458.0
PSZCZYŃSKI,26749.0,188087.0,21463.0,124045.0,1383432.0,3412.0
RYBNICKI,37566.0,231808.0,23236.0,119841.0,1603752.0,5503.0
ŚWIĘTOCHŁOWICKI,3225.0277633155974,19512.781204432747,3804.4032220030313,9352.775261668574,167410.2953526673,860.7863957641873
CHORZÓW,146.5068296911192,1218.3305815655417,164.01547903229948,539.5270574639212,9604.807676738714,41.84533918543979
BORSZCZOWSKI,86897.05724598496,130607.00309005394,60746.456817619975,15909.950722723248,675087.7776282508,12562.823812864619
BRODZKI,41030.14209807157,114781.00074026488,52945.78382143516,74238.58455550343,773614.7935186393,845.13949248098
BRZEŻAŃSKI,58835.69792353489,124988.38061572066,83533.0156306329,116255.12158890639,1178362.7399512008,1992.6918571559438
BUCZACKI,88824.0,166501.0,59290.0,54077.0,1058649.0,7112.0
CZORTKOWSKI,85560.07387950596,138639.3759901605,73210.59931803057,15792.819322836946,716083.0455510136,13510.832215179631
KAMIONECKI,53043.007156368796,88760.27677645488,30370.04860073697,56781.04929193645,685633.7454757154,1431.195106828401
PODHAJECKI,63169.98291405164,122001.55274159709,61331.952942287564,64706.0577765169,987678.6036878474,3244.5563518527442
PRZEMYŚLAŃSKI,51425.0,83139.0,37010.0,75514.0,886049.0,1469.0
RADZIECHOWSKI,59495.0,83794.0,44947.0,56478.0,613453.0,1614.0
SKAŁACKI,106964.79379724771,118562.54286759054,99697.49301393754,35861.28192095868,735003.2170804591,10397.546279838945
TARNOPOLSKI,102944.80557726388,189913.89828189753,127992.77155566584,116293.15129059358,1281665.0870283437,7390.160426210797
TREMBOWELSKI,83307.81995495621,132947.8976973796,81883.6553900687,37213.4346900366,738617.8259175393,18230.861903657966
ZALESZCZYCKI,74507.59212552018,85287.53458249013,41037.86961631518,10870.842325362204,633421.5603313189,8743.003470631624
ZBARASKI,191671.0,10249.0,85807.0,123641.0,644312.0,8026.0
ZBOROWSKI,33922.85790192843,117034.99925973512,78515.21617856485,102468.41544449657,899700.2064813607,1678.8605075190198
ZŁOCZOWSKI,60728.0,112169.0,69804.0,84839.0,910125.0,2123.0
KOPYCZYNIECKI,76755.36058433431,147585.06645248723,84305.30162210917,18171.881220305087,835490.7340248242,18451.930586097063
BŁOŃSKI,61565.0,271461.0,32903.0,117655.0,1192587.0,4001.0
CIECHANOWSKI,82997.0,337898.0,60532.0,57625.0,1080014.0,16047.0
GOSTYNIŃSKI,58937.0,295085.0,19067.0,73190.0,968754.0,2007.0
GRÓJECKI,77672.0,517556.0,45081.0,212948.0,2484973.0,1740.0
KUTNOWSKI,130584.0,315448.0,58420.0,112737.0,1060981.0,3078.0
ŁOWICKI,85175.0,437665.0,33873.0,161408.0,1545340.0,838.0
MAKOWSKI (MAKÓW MAZOWIECKI),40443.0,240816.0,19288.0,54775.0,658581.0,5108.0
MIŃSKI,21961.0,284744.0,43773.0,127866.0,1414385.0,2568.0
MŁAWSKI,20740.0,479868.0,22585.0,44336.0,1466121.0,6861.0
PŁOCKI,133068.0,602633.0,97711.0,124160.0,1721144.0,7203.0
PŁOŃSKI,75859.0,424651.0,66231.0,77207.0,1446035.0,4772.0
PRZASNYCKI,70831.0,264599.0,21421.0,33251.0,810975.0,5536.0
PUŁTUSKI,67553.0,445488.0,44707.0,102220.0,1279599.0,3892.0
RADZYMIŃSKI,19226.0,237544.0,19810.0,64119.0,693121.0,1107.0
RAWSKI (RAWA MAZOWIECKA),27673.0,427746.0,39395.0,108311.0,1840684.0,1087.0
SIERPECKI,26221.902815065932,465300.6514744822,32894.81157942675,61689.24380371741,1352870.1599806035,5725.312267354697
SKIERNIEWICKI,30716.0,300403.0,38028.0,104277.0,1230884.0,1526.0
SOCHACZEWSKI,70125.0,275069.0,29573.0,96963.0,1221825.0,1951.0
WARSZAWSKI,44378.0,253080.0,33690.0,122345.0,1450293.0,1379.0
DZIAŁDOWSKI,7800.0,206989.0,42739.0,30251.0,955627.0,13196.0
DUBIEŃSKI,245034.0,473330.0,242540.0,324039.0,1553916.0,15755.0
HOROCHOWSKI,184624.0,177218.0,121582.0,140727.0,1368710.0,1806.0
KOWELSKI,135682.0,406242.0,82387.0,70388.0,1710163.0,698.0
KRZEMIENIECKI,67874.0,620426.0,223729.0,361747.0,1162957.0,7800.0
LUBOMELSKI,33302.0,146865.0,36527.0,30157.0,553945.0,194.0
ŁUCKI,257378.0,508897.0,214673.0,271505.0,2082282.0,2161.0
RÓWIEŃSKI,184824.0,433672.0,162898.0,274310.0,1534854.0,2993.0
WŁODZIMIERSKI,181821.0,235607.0,104980.0,139078.0,1657228.0,2006.0
KOSTOPOLSKI,31888.0,259128.0,37733.0,114144.0,1107597.0,287.0
ZDOŁBUNOWSKI,117990.0,164821.0,105109.0,113306.0,610828.0,2423.0
SARNEŃSKI,6284.0,232727.0,35477.0,45875.0,1121460.0,443.0
BRASŁAWSKI,25782.0,278850.0,53906.0,114872.0,981449.0,1106.0
OSZMIAŃSKI,6380.824180407381,244517.8116828348,63947.70796582198,132580.88549335374,694489.0620550137,363.00766923105084
ŚWIĘCIAŃSKI,30980.0,299412.0,49568.0,95606.0,1252464.0,969.0
WILNO (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0
DZIŚNIEŃSKI,40108.0,299160.0,66991.0,184146.0,1314030.0,1699.0
WILEJSKI,4399.0,290550.0,80947.0,107899.0,1434249.0,410.0
WILEŃSKO-TROCKI,19535.17581959262,426503.1883171652,110002.29203417801,196413.11450664626,2160570.9379449864,3521.992330768949
POSTAWSKI,22743.0,184591.0,28166.0,62713.0,859816.0,1129.0
MOŁODECZAŃSKI,12762.0,166468.0,52429.0,104111.0,701549.0,474.0
